"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 19:00:29 IST 2023","Thu Jun 01 19:00:33 IST 2023","3201","Test Connectivity","test_connectivity","TestResources","","","Cloud Controller Connectivity","Test case to verify cloud Controller Connectivity
           Unique marker: pytest -m ""test_cloud_controller""
        "
"passed","Thu Jun 01 22:13:22 IST 2023","Thu Jun 01 22:15:39 IST 2023","136483","Multi VLAN Test","VLAN Mode","5Ghz","","","Test VLAN with WPA2 Personal Security Mode","
            To verify that a client operating with WPA2(personal) security will connect or not using Multi VLANS
            pytest -m ""multi_vlan and wpa2_personal and fiveg and ow_sanity_lf""
        "
"passed","Thu Jun 01 19:07:57 IST 2023","Thu Jun 01 19:07:58 IST 2023","1199","SDK Tests","Provisioning Service Tests","Provisioning Service Entity API tests","","","Read All Entities","
        Test to Read all entities in Provision service
        Unique marker:pytest -m ""provi_api_readAll_entity_test""
        "
"passed","Thu Jun 01 22:26:14 IST 2023","Thu Jun 01 22:29:42 IST 2023","208108","Multi VLAN Test","VLAN Mode","2.4 Ghz","","","Test Disabled VLAN with WPA2 Security Mode","
            To verify that a client operating with wpa2(personal) security will connect or not by disabling VLAN.
            Unique marker:pytest -m ""disable_vlan_twog and twog and wpa2_personal and ow_sanity_lf""
        "
"failed","Thu Jun 01 20:04:10 IST 2023","Thu Jun 01 20:11:08 IST 2023","418585","MultiPsk Test","BRIDGE Mode","WPA2 Security","","","Test for Client Connect with 1 VLAN","
                    To verify a client operating on BRIDGE Mode Multipsk Test with wpa encryption 2.4 GHz Band is connecting or not.
                    pytest -m ""ow_sanity_lf and vlan1 and wpa2 and multipsk""
        "
"passed","Thu Jun 01 20:43:41 IST 2023","Thu Jun 01 20:45:27 IST 2023","105717","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-A","","","Test for wpa3 enterprise 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa3_enterprise and twog""
        "
"passed","Thu Jun 01 20:30:23 IST 2023","Thu Jun 01 20:33:57 IST 2023","213962","Rate Limiting With Radius Test","BRIDGE Mode","WPA2 Enterprise Security","","","Test for Download per SSID per Station 2.4GHz",""
"passed","Thu Jun 01 19:00:33 IST 2023","Thu Jun 01 19:00:34 IST 2023","965","Test Connectivity","test_connectivity","TestResources","","","Check AP is restricted",""
"passed","Thu Jun 01 21:05:43 IST 2023","Thu Jun 01 21:08:54 IST 2023","191381","MultiPsk Test","NAT Mode","WPA2 Security","","","Test for Client Connect with 2 VLAN's","
            To verify the client operating on NAT Mode Multipsk Test with WPA encryption 2.4 GHz Band
            Unique marker: pytest -m ""multi_psk_tests and nat and wpa2_personal and vlan2 and twog""
        "
"passed","Thu Jun 01 20:53:42 IST 2023","Thu Jun 01 20:55:25 IST 2023","103674","Client Connectivity Tests","NAT Mode","EAP TTLS Client Connectivity : Suite-B","","","Test for wpa3 enterprise mixed 2.4 GHz"," wpa enterprise 2g
            pytest -m ""client_connectivity_tests and nat and enterprise and ttls and wpa3_enterprise_mixed and twog""
        "
